linearCube3Timestamp;linearCube3XPos;linearCube3YPos;linearCube3newCorr;linearCube3smoothCorr
0;;;0;0
11.177;-2.995327;0;;
11.197;-3.00923;0;;
11.198;-3.009375;0;;
11.205;-3.000326;0;;
11.219;-2.987551;0;;
11.219;-2.987399;0;;
11.24;-2.966568;0;;
11.24;-2.966314;0;;
11.242;-2.966314;0;;
11.242;-2.966314;0;;
11.243;-2.966314;0;;
11.263;-2.94443;0;;
11.264;-2.944207;0;;
11.265;-2.944172;0;;
11.265;-2.944158;0;;
11.285;-2.92167;0;;
11.286;-2.92167;0;;
11.287;-2.92167;0;;
11.287;-2.92167;0;;
11.288;-2.92167;0;;
11.307;-2.899537;0;;
11.308;-2.899317;0;;
11.308;-2.899241;0;;
11.329;-2.873218;0;;
11.33;-2.872956;0;;
11.331;-2.872917;0;;
11.331;-2.87291;0;;
11.352;-2.854893;0;;
11.353;-2.854714;0;;
11.354;-2.854688;0;;
11.355;-2.854681;0;;
11.375;-2.832249;0;;
11.376;-2.832249;0;;
11.377;-2.832249;0;;
11.378;-2.832249;0;;
11.398;-2.809902;0;;
11.399;-2.809902;0;;
11.4;-2.809902;0;;
11.401;-2.809902;0;;
11.401;-2.809902;0;;
11.42;-2.787474;0;;
11.421;-2.787474;0;;
11.421;-2.787474;0;;
11.442;-2.765289;0;;
11.443;-2.765289;0;;
11.444;-2.765289;0;;
11.444;-2.765289;0;;
11.4498599;;;0.483043844486042;0.285236487697311
11.442;-2.765289;0;;
11.443;-2.765289;0;;
11.444;-2.765289;0;;
11.444;-2.765289;0;;
11.465;-2.74316;0;;
11.466;-2.742945;0;;
11.467;-2.742911;0;;
11.468;-2.742898;0;;
11.487;-2.71546;0;;
11.488;-2.71546;0;;
11.489;-2.71546;0;;
11.49;-2.71546;0;;
11.51;-2.698414;0;;
11.511;-2.698251;0;;
11.511;-2.698223;0;;
11.512;-2.698198;0;;
11.513;-2.698198;0;;
11.531;-2.675961;0;;
11.533;-2.675693;0;;
11.533;-2.675672;0;;
11.554;-2.654018;0;;
11.555;-2.653764;0;;
11.556;-2.653764;0;;
11.557;-2.653764;0;;
11.577;-2.631181;0;;
11.577;-2.631181;0;;
11.578;-2.631181;0;;
11.579;-2.631181;0;;
11.579;-2.631181;0;;
11.6;-2.609536;0;;
11.601;-2.609216;0;;
11.602;-2.608898;0;;
11.622;-2.586953;0;;
11.623;-2.586679;0;;
11.623;-2.586679;0;;
11.624;-2.586679;0;;
11.624;-2.586679;0;;
11.643;-2.559269;0;;
11.644;-2.558975;0;;
11.645;-2.558929;0;;
11.666;-2.541911;0;;
11.667;-2.541744;0;;
11.668;-2.541718;0;;
11.668;-2.541709;0;;
11.688;-2.519502;0;;
11.689;-2.519502;0;;
11.689;-2.519502;0;;
11.69;-2.519502;0;;
11.71;-2.497354;0;;
11.711;-2.497354;0;;
11.711;-2.497354;0;;
11.712;-2.497354;0;;
11.732;-2.47468;0;;
11.732;-2.47468;0;;
11.733;-2.47468;0;;
11.734;-2.47468;0;;
11.7511585;;;-0.432253108792304;0.0533143338378487
11.753;-2.452866;0;;
11.754;-2.452577;0;;
11.755;-2.452577;0;;
11.755;-2.452577;0;;
11.774;-2.428379;0;;
11.775;-2.428131;0;;
11.776;-2.428081;0;;
11.776;-2.428072;0;;
11.797;-2.40348;0;;
11.797;-2.403445;0;;
11.798;-2.402944;0;;
11.799;-2.40265;0;;
11.819;-2.385752;0;;
11.82;-2.385541;0;;
11.821;-2.385541;0;;
11.821;-2.385541;0;;
11.841;-2.363384;0;;
11.849;-2.363117;0;;
11.849;-2.363108;0;;
11.85;-2.363108;0;;
11.863;-2.351839;0;;
11.864;-2.343192;0;;
11.864;-2.341802;0;;
11.865;-2.340413;0;;
11.884;-2.329497;0;;
11.885;-2.329387;0;;
11.886;-2.321219;0;;
11.886;-2.319839;0;;
11.906;-2.307141;0;;
11.907;-2.307009;0;;
11.908;-2.297948;0;;
11.909;-2.296237;0;;
11.928;-2.28466;0;;
11.928;-2.28466;0;;
11.929;-2.28466;0;;
11.93;-2.27546;0;;
11.949;-2.262645;0;;
11.95;-2.262511;0;;
11.971;-2.240447;0;;
11.971;-2.240272;0;;
11.972;-2.240196;0;;
11.973;-2.240186;0;;
11.974;-2.240184;0;;
11.992;-2.218431;0;;
11.993;-2.218;0;;
11.994;-2.217834;0;;
11.995;-2.217834;0;;
11.996;-2.217834;0;;
12.015;-2.195806;0;;
12.015;-2.195717;0;;
12.016;-2.19557;0;;
12.036;-2.173716;0;;
12.036;-2.173606;0;;
12.037;-2.173467;0;;
12.0529589;;;0.474459480436397;0.0710485231322123
12.057;-2.151087;0;;
12.06;-2.150833;0;;
12.061;-2.150816;0;;
12.062;-2.150811;0;;
12.082;-2.128104;0;;
12.083;-2.127891;0;;
12.084;-2.12784;0;;
12.084;-2.127831;0;;
12.085;-2.127825;0;;
12.104;-2.106673;0;;
12.105;-2.106364;0;;
12.105;-2.106212;0;;
12.126;-2.084325;0;;
12.126;-2.084163;0;;
12.127;-2.084085;0;;
12.128;-2.084068;0;;
12.128;-2.084065;0;;
12.147;-2.061632;0;;
12.148;-2.061403;0;;
12.149;-2.061343;0;;
12.176;-2.039248;0;;
12.177;-2.028266;0;;
12.178;-2.028266;0;;
12.178;-2.028266;0;;
12.191;-2.01616;0;;
12.192;-2.015992;0;;
12.192;-2.015975;0;;
12.193;-2.015929;0;;
12.213;-1.995003;0;;
12.213;-1.994736;0;;
12.214;-1.994736;0;;
12.215;-1.994736;0;;
12.235;-1.972133;0;;
12.236;-1.971901;0;;
12.237;-1.971866;0;;
12.237;-1.97186;0;;
12.257;-1.961141;0;;
12.259;-1.954242;0;;
12.26;-1.952697;0;;
12.261;-1.9504;0;;
12.28;-1.927877;0;;
12.281;-1.927654;0;;
12.282;-1.927601;0;;
12.282;-1.927592;0;;
12.302;-1.905487;0;;
12.302;-1.905321;0;;
12.303;-1.905226;0;;
12.304;-1.905213;0;;
12.323;-1.883003;0;;
12.324;-1.882717;0;;
12.326;-1.882717;0;;
12.326;-1.882717;0;;
12.345;-1.860905;0;;
12.346;-1.860675;0;;
12.347;-1.860617;0;;
12.348;-1.860617;0;;
12.3542575;;;0.457076013603158;0.245581557433323
12.367;-1.838079;0;;
12.368;-1.838079;0;;
12.368;-1.838079;0;;
12.369;-1.838079;0;;
12.388;-1.816022;0;;
12.389;-1.815786;0;;
12.39;-1.815748;0;;
12.39;-1.815744;0;;
12.41;-1.804734;0;;
12.411;-1.804622;0;;
12.412;-1.804604;0;;
12.412;-1.804597;0;;
12.431;-1.777198;0;;
12.432;-1.772753;0;;
12.433;-1.771233;0;;
12.434;-1.771233;0;;
12.454;-1.759928;0;;
12.455;-1.751483;0;;
12.456;-1.749414;0;;
12.456;-1.749062;0;;
12.475;-1.737493;0;;
12.48;-1.737409;0;;
12.481;-1.73506;0;;
12.497;-1.708109;0;;
12.498;-1.707683;0;;
12.499;-1.707683;0;;
12.499;-1.707683;0;;
12.5;-1.703619;0;;
12.518;-1.692906;0;;
12.519;-1.692791;0;;
12.52;-1.692767;0;;
12.54;-1.670864;0;;
12.541;-1.670681;0;;
12.542;-1.670619;0;;
12.542;-1.670589;0;;
12.543;-1.670589;0;;
12.562;-1.648605;0;;
12.562;-1.648548;0;;
12.583;-1.621273;0;;
12.584;-1.621009;0;;
12.585;-1.620967;0;;
12.586;-1.620954;0;;
12.605;-1.603819;0;;
12.605;-1.603589;0;;
12.606;-1.603589;0;;
12.607;-1.603589;0;;
12.626;-1.581514;0;;
12.627;-1.581275;0;;
12.628;-1.581238;0;;
12.628;-1.581232;0;;
12.648;-1.55921;0;;
12.649;-1.558931;0;;
12.65;-1.558931;0;;
12.65;-1.558931;0;;
12.6560579;;;0.486825136559888;0.246526880451785
12.669;-1.536824;0;;
12.67;-1.536582;0;;
12.671;-1.536544;0;;
12.691;-1.514588;0;;
12.691;-1.514418;0;;
12.692;-1.514328;0;;
12.712;-1.491944;0;;
12.714;-1.491701;0;;
12.735;-1.464876;0;;
12.736;-1.464619;0;;
12.737;-1.464576;0;;
