largeCube3Timestamp;largeCube3XPos;largeCube3YPos;largeCube3newCorr;largeCube3smoothCorr
7.998;-2.977475;2.5;;
7.999;-2.995266;2.5;;
8;-3.004909;2.5;;
8.021;-3;2.5;;
8.022;-2.96261;2.5;;
8.023;-2.96261;2.5;;
8.023;-2.96261;2.5;;
8.024;-2.96261;2.5;;
8.042;-2.947476;2.5;;
8.043;-2.947303;2.5;;
8.044;-2.926894;2.5;;
8.065;-2.892409;2.5;;
8.066;-2.892066;2.5;;
8.067;-2.872236;2.5;;
8.067;-2.868824;2.5;;
8.068;-2.866466;2.5;;
8.087;-2.815736;2.5;;
8.088;-2.814656;2.5;;
8.089;-2.813903;2.5;;
8.109;-2.786752;2.5;;
8.11;-2.78642;2.5;;
8.111;-2.758865;2.5;;
8.112;-2.758865;2.5;;
8.132;-2.731881;2.5;;
8.133;-2.731881;2.5;;
8.133;-2.728097;2.5;;
8.134;-2.706061;2.5;;
8.153;-2.678581;2.5;;
8.154;-2.678581;2.5;;
8.154;-2.678581;2.5;;
8.174;-2.626408;2.5;;
8.175;-2.625561;2.5;;
8.176;-2.625278;2.5;;
8.179;-2.596593;2.5;;
8.195;-2.572681;2.5;;
8.196;-2.571834;2.5;;
8.197;-2.571613;2.5;;
8.2059926;;;-0.324461694814061;-0.0987012121737805
8.207;-2.546244;2.5;;
8.217;-2.504451;2.5;;
8.218;-2.5036;2.5;;
8.219;-2.503474;2.5;;
8.219;-2.503452;2.5;;
8.238;-2.465255;2.5;;
8.239;-2.464838;2.5;;
8.24;-2.464772;2.5;;
8.241;-2.464762;2.5;;
8.26;-2.411466;2.5;;
8.261;-2.410913;2.5;;
8.262;-2.410758;2.5;;
8.262;-2.410758;2.5;;
8.282;-2.358323;2.5;;
8.282;-2.357899;2.5;;
8.283;-2.357699;2.5;;
8.284;-2.357672;2.5;;
8.304;-2.304488;2.5;;
8.305;-2.304029;2.5;;
8.305;-2.303805;2.5;;
8.306;-2.303805;2.5;;
8.326;-2.277529;2.5;;
8.328;-2.252873;2.5;;
8.349;-2.19878;2.5;;
8.35;-2.197621;2.5;;
8.351;-2.196993;2.5;;
8.352;-2.196894;2.5;;
8.352;-2.19688;2.5;;
8.371;-2.143834;2.5;;
8.372;-2.143261;2.5;;
8.373;-2.143173;2.5;;
8.395;-2.090173;2.5;;
8.395;-2.089862;2.5;;
8.396;-2.089637;2.5;;
8.416;-2.036517;2.5;;
8.417;-2.036002;2.5;;
8.417;-2.035913;2.5;;
8.438;-1.982672;2.5;;
8.438;-1.982287;2.5;;
8.439;-1.982072;2.5;;
8.46;-1.929036;2.5;;
8.461;-1.928535;2.5;;
8.483;-1.901871;2.5;;
8.485;-1.878078;2.5;;
8.504;-1.822106;2.5;;
8.505;-1.821583;2.5;;
8.506;-1.82135;2.5;;
8.5123323;;;-0.494128558019094;-0.425203647612138
8.504;-1.822106;2.5;;
8.505;-1.821583;2.5;;
8.506;-1.82135;2.5;;
8.528;-1.767491;2.5;;
8.529;-1.767491;2.5;;
8.549;-1.714815;2.5;;
8.549;-1.714144;2.5;;
8.55;-1.714144;2.5;;
8.551;-1.714144;2.5;;
8.551;-1.714144;2.5;;
8.57;-1.660882;2.5;;
8.57;-1.660532;2.5;;
8.571;-1.66023;2.5;;
8.572;-1.660169;2.5;;
8.591;-1.607552;2.5;;
8.592;-1.606979;2.5;;
8.593;-1.606869;2.5;;
8.615;-1.548447;2.5;;
8.616;-1.548447;2.5;;
8.617;-1.548447;2.5;;
8.617;-1.548447;2.5;;
8.637;-1.526348;2.5;;
8.638;-1.526348;2.5;;
8.638;-1.526348;2.5;;
8.639;-1.526348;2.5;;
8.64;-1.526348;2.5;;
8.658;-1.447338;2.5;;
8.659;-1.446421;2.5;;
8.661;-1.446267;2.5;;
8.681;-1.392434;2.5;;
8.682;-1.392434;2.5;;
8.683;-1.392434;2.5;;
8.683;-1.392434;2.5;;
