large (1)Cube1Timestamp;large (1)Cube1XPos;large (1)Cube1YPos;large (1)Cube1newCorr;large (1)Cube1smoothCorr
4.99;-0.9352682;0;;
4.991;-0.9351855;0;;
4.991;-0.9351451;0;;
4.992;-0.9351451;0;;
4.993;-0.9351451;0;;
5.0098156;;;0.222969346396372;0.259126208244241
5.011;-0.8823064;0;;
5.012;-0.8817123;0;;
5.013;-0.8815997;0;;
5.014;-0.8815814;0;;
5.033;-0.8548833;0;;
5.033;-0.8449218;0;;
5.035;-0.8279549;0;;
5.061;-0.7745666;0;;
5.062;-0.7741358;0;;
5.063;-0.7740462;0;;
5.078;-0.7193923;0;;
5.079;-0.7193923;0;;
5.08;-0.7193923;0;;
5.099;-0.6940022;0;;
5.101;-0.6728932;0;;
5.123;-0.6140394;0;;
5.124;-0.6131174;0;;
5.146;-0.5606284;0;;
5.147;-0.5599456;0;;
5.147;-0.559627;0;;
5.167;-0.5061514;0;;
5.168;-0.5055775;0;;
5.19;-0.4518601;0;;
5.191;-0.4514318;0;;
5.212;-0.3989379;0;;
5.213;-0.3984865;0;;
5.234;-0.345166;0;;
5.235;-0.3445347;0;;
5.236;-0.3445347;0;;
5.256;-0.2908674;0;;
5.257;-0.2908674;0;;
5.258;-0.2908674;0;;
5.258;-0.2908674;0;;
5.279;-0.2644684;0;;
5.279;-0.2495795;0;;
5.28;-0.2395553;0;;
5.301;-0.1844123;0;;
5.301;-0.1840302;0;;
5.302;-0.1837933;0;;
5.303;-0.1837561;0;;
5.3121192;;;0.443528553602177;0.260996721311755
5.323;-0.1571632;0;;
5.324;-0.1359618;0;;
5.324;-0.1323278;0;;
5.345;-0.07627545;0;;
5.346;-0.0757164;0;;
5.347;-0.07563448;0;;
5.368;-0.0230808;0;;
5.369;-0.02257763;0;;
5.37;-0.02247839;0;;
5.39;0.003288981;0;;
5.391;0.02250315;0;;
5.411;0.05650118;0;;
5.413;0.08120932;0;;
5.432;0.1104828;0;;
5.474;0.2179964;0;;
5.475;0.2185381;0;;
5.517;0.3249388;0;;
5.539;0.3785802;0;;
5.54;0.3790676;0;;
5.56;0.4326911;0;;
5.581;0.4595355;0;;
5.604;0.4598546;0;;
5.6204385;;;-0.192937964112548;0.0937988895532276
5.625;0.5832005;0;;
5.668;0.6728534;0;;
5.668;0.6731461;0;;
5.669;0.6960656;0;;
5.688;0.7267531;0;;
5.709;0.781116;0;;
5.71;0.781116;0;;
5.711;0.781116;0;;
5.73;0.8339854;0;;
5.731;0.8345293;0;;
5.732;0.8346674;0;;
5.752;0.8881275;0;;
5.753;0.8881275;0;;
5.754;0.8881275;0;;
5.774;0.9413268;0;;
5.774;0.9415268;0;;
5.795;0.9950159;0;;
5.796;0.9955374;0;;
5.797;0.9956498;0;;
5.817;1.048586;0;;
5.818;1.048586;0;;
5.839;1.102295;0;;
5.84;1.102295;0;;
5.86;1.158598;0;;
5.882;1.182644;0;;
5.887;1.222319;0;;
5.904;1.236869;0;;
5.905;1.264009;0;;
5.905;1.264009;0;;
5.925;1.289757;0;;
5.9262598;;;0.475985253360916;0.237386297311729
5.925;1.289757;0;;
5.926;1.312119;0;;
5.948;1.343071;0;;
5.968;1.396563;0;;
5.968;1.396785;0;;
5.969;1.397114;0;;
5.97;1.397223;0;;
5.989;1.450858;0;;
5.99;1.450858;0;;
5.991;1.450858;0;;
6.011;1.504699;0;;
6.012;1.504699;0;;
6.032;1.557791;0;;
6.033;1.557791;0;;
6.033;1.557791;0;;
6.034;1.557791;0;;
6.053;1.611008;0;;
6.054;1.61154;0;;
6.055;1.611697;0;;
6.075;1.66532;0;;
6.075;1.66532;0;;
6.076;1.66532;0;;
6.077;1.66532;0;;
6.096;1.718584;0;;
6.097;1.719142;0;;
6.118;1.771599;0;;
6.139;1.825423;0;;
6.14;1.826063;0;;
6.14;1.826063;0;;
6.141;1.826063;0;;
6.162;1.879413;0;;
6.162;1.879413;0;;
6.184;1.932529;0;;
6.184;1.932798;0;;
6.185;1.933143;0;;
6.207;1.986942;0;;
6.207;1.986942;0;;
6.208;1.986942;0;;
6.208;1.986942;0;;
6.2275601;;;0.481698394211355;0.302068559265475
6.228;2.039873;0;;
6.229;2.039905;0;;
6.23;2.040542;0;;
6.23;2.040542;0;;
6.251;2.094384;0;;
6.251;2.094384;0;;
6.252;2.094384;0;;
6.253;2.094384;0;;
6.278;2.147652;0;;
6.278;2.147652;0;;
6.279;2.147652;0;;
6.28;2.147652;0;;
6.296;2.200754;0;;
6.297;2.201586;0;;
6.298;2.201586;0;;
6.298;2.201586;0;;
6.318;2.254987;0;;
6.318;2.254987;0;;
6.319;2.254987;0;;
6.339;2.307591;0;;
6.34;2.308126;0;;
6.341;2.308211;0;;
6.341;2.308246;0;;
6.361;2.36115;0;;
6.362;2.36115;0;;
6.363;2.36115;0;;
6.384;2.414144;0;;
6.385;2.414609;0;;
6.386;2.414742;0;;
6.406;2.468123;0;;
6.408;2.468701;0;;
6.431;2.521431;0;;
6.432;2.521878;0;;
6.474;2.628266;0;;
6.496;2.682598;0;;
6.497;2.683106;0;;
6.498;2.683206;0;;
6.519;2.736098;0;;
6.5288611;;;0.107334253557922;0.218019984254411
6.54;2.789803;0;;
6.542;2.79044;0;;
6.542;2.79044;0;;
6.563;2.844235;0;;
6.64;2.999498;0;;
6.642;2.999942;0;;
6.644;2.999987;0;;
6.644;2.99999;0;;
6.645;2.999999;0;;
6.646;3;0;;
6.647;3;0;;
6.648;3;0;;
6.648;3;0;;
6.665;2.9475;0;;
6.665;2.946992;0;;
6.666;2.946779;0;;
6.671;2.946726;0;;
6.687;2.893771;0;;
6.688;2.89319;0;;
6.688;2.893158;0;;
6.689;2.892917;0;;
6.709;2.839384;0;;
6.709;2.839384;0;;
6.71;2.839384;0;;
6.711;2.839384;0;;
6.73;2.786034;0;;
6.731;2.786034;0;;
6.732;2.786034;0;;
6.752;2.732715;0;;
6.753;2.731742;0;;
6.754;2.731523;0;;
6.774;2.678759;0;;
6.775;2.678214;0;;
6.776;2.678124;0;;
6.777;2.678111;0;;
6.797;2.62554;0;;
6.798;2.624821;0;;
6.798;2.624466;0;;
6.799;2.624257;0;;
6.818;2.598881;0;;
6.819;2.579857;0;;
6.82;2.571429;0;;
6.821;2.571429;0;;
6.8306632;;;-0.393202133021686;0.167953942027127
6.84;2.543731;0;;
6.84;2.543731;0;;
6.86;2.491341;0;;
6.861;2.49083;0;;
6.862;2.490726;0;;
6.882;2.43765;0;;
6.883;2.436986;0;;
6.883;2.436986;0;;
6.903;2.383683;0;;
6.904;2.383683;0;;
6.904;2.383683;0;;
6.924;2.330223;0;;
6.925;2.330223;0;;
6.926;2.330223;0;;
6.926;2.330223;0;;
6.946;2.276961;0;;
6.946;2.276644;0;;
6.947;2.276376;0;;
6.948;2.276307;0;;
6.967;2.223381;0;;
6.968;2.222674;0;;
6.968;2.222674;0;;
6.988;2.169963;0;;
6.988;2.169584;0;;
6.989;2.169343;0;;
6.99;2.169308;0;;
6.99;2.169302;0;;
7.009;2.116365;0;;
7.01;2.11568;0;;
7.011;2.11568;0;;
7.031;2.062277;0;;
7.032;2.061759;0;;
7.033;2.061651;0;;
7.056;2.009148;0;;
7.062;2.008586;0;;
7.063;2.008567;0;;
7.064;2.008564;0;;
7.065;1.9867;0;;
7.078;1.955293;0;;
7.079;1.954857;0;;
7.079;1.954666;0;;
7.08;1.954666;0;;
7.1;1.90223;0;;
7.101;1.901751;0;;
7.101;1.90156;0;;
7.102;1.90156;0;;
7.103;1.90156;0;;
7.121;1.848397;0;;
7.122;1.847664;0;;
7.123;1.847664;0;;
7.1319637;;;-0.486653815023286;-0.0727058250689237
7.121;1.848397;0;;
7.122;1.847664;0;;
7.123;1.847664;0;;
7.144;1.795474;0;;
7.145;1.794645;0;;
7.146;1.794298;0;;
7.147;1.794246;0;;
7.167;1.741121;0;;
7.168;1.740621;0;;
7.168;1.740535;0;;
7.189;1.687082;0;;
7.19;1.686584;0;;
7.19;1.686498;0;;
7.191;1.686453;0;;
7.211;1.634063;0;;
7.212;1.633502;0;;
7.213;1.633403;0;;
7.214;1.633403;0;;
7.233;1.580297;0;;
7.235;1.579675;0;;
7.235;1.579623;0;;
7.236;1.5796;0;;
7.257;1.52647;0;;
7.258;1.526036;0;;
7.278;1.472966;0;;
7.279;1.472012;0;;
7.28;1.471724;0;;
7.281;1.471671;0;;
7.301;1.421021;0;;
7.302;1.419834;0;;
7.304;1.418704;0;;
7.325;1.365752;0;;
7.325;1.365448;0;;
7.326;1.365112;0;;
7.326;1.365112;0;;
7.327;1.365112;0;;
7.346;1.311646;0;;
7.347;1.311107;0;;
7.348;1.310976;0;;
7.367;1.258665;0;;
7.368;1.258143;0;;
7.369;1.258023;0;;
7.369;1.258003;0;;
7.389;1.204619;0;;
7.39;1.204062;0;;
7.391;1.203963;0;;
7.392;1.203963;0;;
7.411;1.15184;0;;
7.412;1.150878;0;;
7.413;1.150562;0;;
7.413;1.150508;0;;
