smallCube3Timestamp;smallCube3XPos;smallCube3YPos;smallCube3newCorr;smallCube3smoothCorr
6.207;2.206536;1;;
6.208;2.206986;1;;
6.209;2.207052;1;;
6.21;2.207068;1;;
6.229;2.229537;1;;
6.23;2.229836;1;;
6.231;2.229836;1;;
6.231;2.229836;1;;
6.25;2.293921;1;;
6.251;2.29457;1;;
6.251;2.294681;1;;
6.252;2.294738;1;;
6.272;2.339551;1;;
6.273;2.339998;1;;
6.273;2.340074;1;;
6.274;2.340108;1;;
6.294;2.383971;1;;
6.295;2.384413;1;;
6.296;2.384486;1;;
6.297;2.38451;1;;
6.317;2.428822;1;;
6.317;2.428969;1;;
6.318;2.42931;1;;
6.319;2.429365;1;;
6.339;2.473838;1;;
6.34;2.474236;1;;
6.34;2.474294;1;;
6.359;2.496863;1;;
6.359;2.496997;1;;
6.36;2.497136;1;;
6.361;2.512869;1;;
6.368;2.518284;1;;
6.38;2.540658;1;;
6.381;2.541039;1;;
6.401;2.595026;1;;
6.402;2.595535;1;;
6.403;2.595692;1;;
6.403;2.595692;1;;
6.423;2.629705;1;;
6.424;2.630039;1;;
6.425;2.630135;1;;
6.445;2.674851;1;;
6.446;2.674851;1;;
6.447;2.674851;1;;
6.466;2.719388;1;;
6.467;2.719845;1;;
6.468;2.719938;1;;
6.4727497;;;0.497593113540371;0.188712371324849
6.466;2.719388;1;;
6.467;2.719845;1;;
6.468;2.719938;1;;
6.488;2.763907;1;;
6.489;2.76435;1;;
6.49;2.764423;1;;
6.49;2.764428;1;;
6.491;2.764447;1;;
6.509;2.809402;1;;
6.51;2.809841;1;;
6.511;2.810025;1;;
6.53;2.853785;1;;
6.531;2.853785;1;;
6.532;2.853785;1;;
6.532;2.853785;1;;
6.551;2.907595;1;;
6.552;2.907595;1;;
6.553;2.907595;1;;
6.554;2.907595;1;;
6.574;2.943271;1;;
6.574;2.943271;1;;
6.575;2.943271;1;;
6.575;2.943271;1;;
6.596;2.986969;1;;
6.597;2.98725;1;;
6.598;2.987381;1;;
6.598;2.987445;1;;
6.618;2.999847;1;;
6.619;2.999977;1;;
6.62;2.999995;1;;
6.641;2.956044;1;;
6.641;2.955707;1;;
6.642;2.955557;1;;
6.642;2.955532;1;;
6.644;2.955518;1;;
6.663;2.910941;1;;
6.664;2.910941;1;;
6.665;2.910941;1;;
6.665;2.910941;1;;
6.691;2.866057;1;;
6.692;2.865707;1;;
6.693;2.86565;1;;
6.694;2.865633;1;;
6.708;2.811957;1;;
6.709;2.811252;1;;
6.709;2.811157;1;;
6.728;2.799268;1;;
6.729;2.799068;1;;
6.73;2.780725;1;;
6.731;2.777518;1;;
6.751;2.754025;1;;
6.752;2.735915;1;;
6.753;2.732256;1;;
6.754;2.732256;1;;
6.754;2.732256;1;;
6.7740488;;;0.0193584011283719;0.315857282821479
6.774;2.687809;1;;
6.775;2.687783;1;;
6.776;2.687772;1;;
6.796;2.664759;1;;
6.797;2.647781;1;;
6.798;2.642834;1;;
6.799;2.642834;1;;
6.799;2.642834;1;;
6.817;2.620214;1;;
6.818;2.619952;1;;
6.819;2.601438;1;;
6.839;2.575524;1;;
6.84;2.575253;1;;
6.841;2.575216;1;;
6.841;2.560494;1;;
6.861;2.52999;1;;
6.861;2.529949;1;;
6.862;2.529599;1;;
6.863;2.529599;1;;
6.882;2.485674;1;;
6.883;2.485674;1;;
6.884;2.485674;1;;
6.904;2.442104;1;;
6.904;2.441902;1;;
6.924;2.397508;1;;
6.925;2.397053;1;;
6.946;2.352725;1;;
6.947;2.352279;1;;
6.967;2.308093;1;;
