small (1)Cube1Timestamp;small (1)Cube1XPos;small (1)Cube1YPos;small (1)Cube1newCorr;small (1)Cube1smoothCorr
6.619;2.453177;0;;
6.619;2.453193;0;;
6.64;2.496798;0;;
6.641;2.497164;0;;
6.641;2.497192;0;;
6.642;2.497287;0;;
6.662;2.541228;0;;
6.663;2.541615;0;;
6.663;2.541664;0;;
6.664;2.541755;0;;
6.686;2.563843;0;;
6.687;2.564029;0;;
6.688;2.564086;0;;
6.707;2.630807;0;;
6.708;2.631454;0;;
6.708;2.631561;0;;
6.709;2.631647;0;;
6.709;2.631661;0;;
6.729;2.675384;0;;
6.73;2.675938;0;;
6.73;2.675938;0;;
6.731;2.675938;0;;
6.75;2.697811;0;;
6.7505916;;;0.497704131708995;0.214357035648547
6.75;2.697811;0;;
6.751;2.715091;0;;
6.757;2.719444;0;;
6.758;2.720235;0;;
6.772;2.742701;0;;
6.793;2.787435;0;;
6.793;2.787435;0;;
6.793;2.787435;0;;
6.794;2.787435;0;;
6.795;2.787435;0;;
6.814;2.832373;0;;
6.815;2.832848;0;;
6.816;2.832966;0;;
6.836;2.876325;0;;
6.836;2.876325;0;;
6.837;2.876325;0;;
6.838;2.876325;0;;
6.857;2.928478;0;;
6.858;2.929163;0;;
6.859;2.929163;0;;
6.859;2.929163;0;;
6.879;2.96609;0;;
6.879;2.966288;0;;
6.88;2.966488;0;;
6.88;2.966561;0;;
6.9;3.010879;0;;
6.9;3.010879;0;;
6.901;3.010879;0;;
6.901;3.010879;0;;
6.922;2.978185;0;;
6.922;2.978185;0;;
6.923;2.978185;0;;
6.923;2.978185;0;;
6.943;2.934097;0;;
6.943;2.933772;0;;
6.944;2.933593;0;;
6.945;2.93354;0;;
6.965;2.888356;0;;
6.965;2.888356;0;;
6.966;2.888356;0;;
6.967;2.888356;0;;
6.986;2.843719;0;;
6.987;2.843719;0;;
6.987;2.843719;0;;
6.988;2.843719;0;;
7.009;2.788088;0;;
7.01;2.788088;0;;
7.01;2.788088;0;;
7.029;2.777036;0;;
7.03;2.776935;0;;
7.031;2.761058;0;;
7.031;2.75933;0;;
7.032;2.754247;0;;
7.0523922;;;0.0648789314412441;0.35382527537774
7.1;2.620314;0;;
7.101;2.620314;0;;
7.102;2.620314;0;;
7.103;2.620314;0;;
7.104;2.620314;0;;
7.104;2.620314;0;;
7.105;2.620314;0;;
7.111;2.620314;0;;
7.112;2.598053;0;;
7.113;2.598053;0;;
7.113;2.598053;0;;
7.114;2.598053;0;;
7.123;2.568793;0;;
7.124;2.568155;0;;
7.125;2.568007;0;;
7.126;2.567962;0;;
7.146;2.531041;0;;
7.147;2.531041;0;;
7.148;2.531041;0;;
7.149;2.531041;0;;
7.168;2.476769;0;;
7.169;2.476216;0;;
7.17;2.4761;0;;
7.17;2.47608;0;;
7.19;2.442094;0;;
7.191;2.441668;0;;
7.191;2.441668;0;;
7.192;2.441668;0;;
7.212;2.397483;0;;
7.212;2.397366;0;;
7.213;2.396917;0;;
7.214;2.396917;0;;
7.233;2.352886;0;;
7.233;2.352693;0;;
7.234;2.352293;0;;
7.235;2.352293;0;;
7.254;2.307898;0;;
7.255;2.307898;0;;
7.256;2.307898;0;;
7.256;2.307898;0;;
7.276;2.264054;0;;
7.277;2.263343;0;;
7.278;2.263042;0;;
7.279;2.262997;0;;
7.298;2.218014;0;;
7.299;2.218014;0;;
7.3;2.218014;0;;
7.32;2.166881;0;;
7.322;2.165216;0;;
7.322;2.165083;0;;
7.323;2.165005;0;;
7.324;2.164991;0;;
7.344;2.128285;0;;
7.344;2.128285;0;;
7.3536908;;;-0.495637476726121;0.137979177194302
7.344;2.128285;0;;
7.344;2.128285;0;;
7.365;2.085258;0;;
7.366;2.084658;0;;
7.367;2.084412;0;;
7.367;2.0843;0;;
7.368;2.084253;0;;
7.369;2.084241;0;;
7.388;2.038539;0;;
7.389;2.038539;0;;
7.41;1.995312;0;;
7.411;1.994951;0;;
7.411;1.99491;0;;
7.412;1.994819;0;;
7.413;1.994804;0;;
7.432;1.952463;0;;
7.433;1.950217;0;;
7.434;1.950217;0;;
7.435;1.950217;0;;
7.435;1.950217;0;;
7.454;1.904503;0;;
7.455;1.904009;0;;
7.479;1.851147;0;;
7.48;1.850726;0;;
7.481;1.850623;0;;
7.482;1.85059;0;;
7.482;1.85059;0;;
7.483;1.85059;0;;
7.502;1.816661;0;;
7.502;1.816403;0;;
7.503;1.81621;0;;
7.504;1.81621;0;;
7.524;1.772643;0;;
7.525;1.771971;0;;
7.525;1.771816;0;;
7.526;1.771539;0;;
7.545;1.727432;0;;
