Timestamp;Name;smoothCorrel;speed;task;selected;correlationToIntendedObject;objectSize
16.2717835;2.4204373;7;;-0.5466853;30;;(10.7, 6.3);23.49317
16.2717835;2.4204373;7;;0.07170685;30;;(7.5, 4.4);23.49317
16.2717835;2.4204373;7;;0.344648;30;;(8.8, 3.5);23.49317
16.2722851;2.4209389;7;;0.5466853;30;;(14.5, 3.4);23.49317
16.2722851;2.4209389;7;;-0.0717065;30;;(19.7, 3.8);23.49317
16.2722851;2.4209389;7;;0.03159272;45;;(4.6, 3.4);8.469223
16.2722851;2.4209389;7;;-0.5516304;45;;(5.1, 3.8);8.469223
16.2722851;2.4209389;7;;-0.3041877;45;;(4.9, 5.6);8.469223
16.2722851;2.4209389;7;;-0.0315927;45;;(4.2, 6.2);8.469223
16.2727861;2.4214399;7;;0.5516305;45;;(3.8, 4.3);8.469223
16.3645299;2.5131837;7;;-0.4396088;30;;(10.9, 6.3);23.49317
16.3645299;2.5131837;7;;0.09217043;30;;(7.6, 4.4);23.49317
16.3645299;2.5131837;7;;0.2536586;30;;(8.7, 3.5);23.49317
16.3645299;2.5131837;7;;0.4396088;30;;(14.2, 3.4);23.49317
16.3650314;2.5136852;7;;-0.09216981;30;;(19.6, 3.7);23.49317
16.3650314;2.5136852;7;;0.05309719;45;;(4.7, 3.4);8.469223
16.3650314;2.5136852;7;;-0.4450544;45;;(5.2, 3.9);8.469223
16.3650314;2.5136852;7;;-0.2261137;45;;(4.8, 5.8);8.469223
16.3650314;2.5136852;7;;-0.05309717;45;;(4.1, 6.2);8.469223
16.3650314;2.5136852;7;;0.4450544;45;;(3.8, 4.2);8.469223
16.4527648;2.6014186;7;;-0.3201065;30;;(11.2, 6.3);23.49317
16.4527648;2.6014186;7;;0.1237532;30;;(7.6, 4.5);23.49317
16.4532663;2.6019201;7;;0.1622833;30;;(8.5, 3.5);23.49317
16.4532663;2.6019201;7;;0.3201065;30;;(13.9, 3.4);23.49317
16.4532663;2.6019201;7;;-0.1237525;30;;(19.5, 3.7);23.49317
16.4532663;2.6019201;7;;0.08612049;45;;(4.7, 3.4);8.469227
16.4532663;2.6019201;7;;-0.3251904;45;;(5.2, 4.0);8.469227
16.4532663;2.6019201;7;;-0.1475816;45;;(4.8, 5.9);8.469227
16.4532663;2.6019201;7;;-0.08612047;45;;(4.1, 6.1);8.469227
16.4532663;2.6019201;7;;0.3251903;45;;(3.8, 4.2);8.469227
16.5154314;2.6640852;7;;-0.1885494;30;;(11.4, 6.4);23.49317
16.5154314;2.6640852;7;;0.1652151;30;;(7.7, 4.6);23.49317
16.5154314;2.6640852;7;;0.0704971;30;;(8.4, 3.5);23.49317
16.5154314;2.6640852;7;;0.1885494;30;;(13.7, 3.4);23.49317
16.5159326;2.6645864;7;;-0.1652143;30;;(19.4, 3.6);23.49317
16.5159326;2.6645864;7;;0.1292826;45;;(4.7, 3.4);8.469227
16.5159326;2.6645864;7;;-0.1912666;45;;(5.2, 4.0);8.469227
16.5159326;2.6645864;7;;-0.06786852;45;;(4.8, 6.0);8.469227
16.5159326;2.6645864;7;;-0.1292826;45;;(4.1, 6.0);8.469227
16.5159326;2.6645864;7;;0.1912665;45;;(3.8, 4.1);8.469227
16.5921353;2.7407891;7;;-0.08429201;30;;(11.6, 6.4);23.49317
16.5921353;2.7407891;7;;0.2059706;30;;(7.7, 4.6);23.49317
16.5921353;2.7407891;7;;0.06468287;30;;(8.3, 3.5);23.49317
16.5921353;2.7407891;7;;0.08429194;30;;(13.4, 3.4);23.49317
16.5921353;2.7407891;7;;-0.2059698;30;;(19.3, 3.6);23.49317
16.5921353;2.7407891;7;;0.1735194;45;;(4.8, 3.4);8.469227
16.5921353;2.7407891;7;;-0.09418938;45;;(5.2, 4.1);8.469227
16.5926371;2.7412909;7;;-0.00940094;45;;(4.7, 6.0);8.469227
16.5926371;2.7412909;7;;-0.1735194;45;;(4.0, 5.9);8.469227
16.5926371;2.7412909;7;;0.09418931;45;;(3.8, 4.0);8.469227
16.6738529;2.8225067;7;;-0.0007081497;30;;(11.8, 6.4);23.49317
16.6743545;2.8230083;7;;0.2221745;30;;(7.8, 4.7);23.49317
16.6743545;2.8230083;7;;0.05689476;30;;(8.2, 3.5);23.49317
16.6743545;2.8230083;7;;0.0007080494;30;;(13.1, 3.4);23.49317
16.6743545;2.8230083;7;;-0.2221736;30;;(19.2, 3.6);23.49317
16.6748557;2.8235095;7;;0.1933221;45;;(4.8, 3.4);8.469227
16.6748557;2.8235095;7;;-0.01276268;45;;(5.2, 4.2);8.469227
16.6748557;2.8235095;7;;0.04994549;45;;(4.7, 6.1);8.469227
16.6748557;2.8235095;7;;-0.1933221;45;;(4.0, 5.8);8.469227
16.6748557;2.8235095;7;;0.0127626;45;;(3.8, 3.9);8.469227
16.7530637;2.9017175;7;;0.00213716;30;;(12.1, 6.4);23.49318
16.7530637;2.9017175;7;;0.2231933;30;;(7.9, 4.8);23.49318
16.7535645;2.9022183;7;;0.04899078;30;;(8.1, 3.5);23.49318
16.7535645;2.9022183;7;;-0.002137304;30;;(12.9, 3.4);23.49318
16.7535645;2.9022183;7;;-0.2231925;30;;(19.1, 3.6);23.49318
16.7535645;2.9022183;7;;0.1944086;45;;(4.9, 3.4);8.469223
16.7535645;2.9022183;7;;-0.01455246;45;;(5.2, 4.3);8.469223
16.7535645;2.9022183;7;;0.04319776;45;;(4.6, 6.2);8.469223
16.7540663;2.9027201;7;;-0.1944086;45;;(4.0, 5.7);8.469223
16.7540663;2.9027201;7;;0.01455245;45;;(3.8, 3.8);8.469223
16.8297676;2.9784214;7;;0.07941823;30;;(12.3, 6.4);23.49317
16.8302694;2.9789232;7;;0.2095159;30;;(7.9, 4.9);23.49317
16.8302694;2.9789232;7;;0.04071924;30;;(8.0, 3.5);23.49317
16.8302694;2.9789232;7;;-0.07941854;30;;(12.6, 3.4);23.49317
16.8307704;2.9794242;7;;-0.209515;30;;(18.9, 3.6);23.49317
16.8307704;2.9794242;7;;0.180702;45;;(4.9, 3.5);8.469223
16.8307704;2.9794242;7;;0.06765331;45;;(5.1, 4.4);8.469223
16.8307704;2.9794242;7;;0.03485697;45;;(4.6, 6.3);8.469223
16.8307704;2.9794242;7;;-0.180702;45;;(3.9, 5.6);8.469223
16.8307704;2.9794242;7;;-0.06765328;45;;(3.8, 3.8);8.469223
16.9054685;3.0541223;7;;0.1065431;30;;(12.6, 6.4);23.49317
16.9054685;3.0541223;7;;0.2221774;30;;(8.0, 5.0);23.49317
16.9054685;3.0541223;7;;0.01871009;30;;(7.9, 3.6);23.49317
16.9054685;3.0541223;7;;-0.1065434;30;;(12.4, 3.4);23.49317
16.9054685;3.0541223;7;;-0.2221766;30;;(18.7, 3.5);23.49317
16.9054685;3.0541223;7;;0.1958864;45;;(4.9, 3.5);8.469227
16.9059698;3.0546236;7;;0.04606657;45;;(5.1, 4.5);8.469227
16.9059698;3.0546236;7;;0.0148391;45;;(4.5, 6.3);8.469227
16.9059698;3.0546236;7;;-0.2136821;45;;(3.9, 5.5);8.469227
16.9059698;3.0546236;7;;-0.1411634;45;;(3.8, 3.7);8.469227
16.9952072;3.143861;7;;0.2049573;30;;(12.9, 6.4);23.49317
16.995709;3.1443628;7;;0.2316336;30;;(8.1, 5.1);23.49317
16.995709;3.1443628;7;;-0.05339298;30;;(7.9, 3.6);23.49317
16.995709;3.1443628;7;;-0.2049576;30;;(12.1, 3.4);23.49317
16.995709;3.1443628;7;;-0.2316328;30;;(18.6, 3.5);23.49317
16.995709;3.1443628;7;;0.2050201;45;;(5.0, 3.5);8.469227
16.9962108;3.1448646;7;;0.05653511;45;;(5.1, 4.6);8.469227
16.9962108;3.1448646;7;;-0.0576269;45;;(4.5, 6.4);8.469227
16.9962108;3.1448646;7;;-0.2049734;45;;(3.9, 5.3);8.469227
16.9962108;3.1448646;7;;-0.02521587;45;;(3.8, 3.6);8.469227
17.0453406;3.1939944;7;;0.2299421;30;;(13.0, 6.4);23.49317
17.0453406;3.1939944;7;;0.184542;30;;(8.2, 5.1);23.49317
17.0453406;3.1939944;7;;-0.1678971;30;;(7.8, 3.6);23.49317
17.0453406;3.1939944;7;;-0.2299424;30;;(11.9, 3.4);23.49317
17.0453406;3.1939944;7;;-0.1845413;30;;(18.4, 3.5);23.49317
17.0458421;3.1944959;7;;0.1707139;45;;(5.0, 3.5);8.469223
17.0458421;3.1944959;7;;-0.05282973;45;;(5.1, 4.7);8.469223
17.0458421;3.1944959;7;;-0.1680372;45;;(4.5, 6.4);8.469223
17.0458421;3.1944959;7;;-0.1706466;45;;(3.9, 5.2);8.469223
17.0458421;3.1944959;7;;0.05286022;45;;(3.8, 3.6);8.469223
17.1120176;3.2606714;7;;0.2247569;30;;(13.2, 6.4);23.49318
17.1120176;3.2611732;7;;0.120741;30;;(8.3, 5.2);23.49318
17.1125194;3.2611732;7;;-0.231925;30;;(7.8, 3.6);23.49318
17.1125194;3.2611732;7;;-0.2247572;30;;(11.7, 3.4);23.49318
17.1125194;3.2611732;7;;-0.1207405;30;;(18.3, 3.5);23.49318
17.1125194;3.2611732;7;;0.1206278;45;;(5.0, 3.5);8.469223
17.1125194;3.2611732;7;;-0.1094908;45;;(5.1, 4.8);8.469223
17.1130206;3.2616744;7;;-0.2262632;45;;(4.4, 6.4);8.469223
17.1130206;3.2616744;7;;-0.1205476;45;;(3.9, 5.1);8.469223
17.1130206;3.2616744;7;;0.1095215;45;;(3.8, 3.6);8.469223
17.1862149;3.3348687;7;;0.2754304;30;;(13.5, 6.4);23.49318
17.1862149;3.3348687;7;;0.1390059;30;;(8.4, 5.3);23.49318
17.1867172;3.335371;7;;-0.2495623;30;;(7.7, 3.6);23.49318
17.1867172;3.335371;7;;-0.2754308;30;;(11.5, 3.4);23.49318
17.1867172;3.335371;7;;-0.1390055;30;;(18.1, 3.5);23.49318
17.1867172;3.335371;7;;0.1393487;45;;(5.0, 3.6);8.469227
17.1867172;3.335371;7;;-0.07864509;45;;(5.1, 4.9);8.469227
17.1867172;3.335371;7;;-0.2462293;45;;(4.4, 6.4);8.469227
17.1872182;3.335872;7;;-0.1392685;45;;(3.8, 5.0);8.469227
17.1872182;3.335872;7;;0.07867584;45;;(3.8, 3.6);8.469227
17.2644234;3.4130772;7;;0.2598654;30;;(13.8, 6.3);23.49317
17.2644234;3.4130772;7;;0.1262231;30;;(8.5, 5.4);23.49317
17.2644234;3.4130772;7;;-0.2380287;30;;(7.6, 3.7);23.49317
17.2644234;3.4130772;7;;-0.2598659;30;;(11.2, 3.4);23.49317
17.2644234;3.4130772;7;;-0.1262227;30;;(17.8, 3.5);23.49317
17.2649252;3.413579;7;;0.1260522;45;;(5.1, 3.6);8.469223
17.2649252;3.413579;7;;-0.08234166;45;;(5.0, 5.1);8.469223
17.2649252;3.413579;7;;-0.2521154;45;;(4.3, 6.4);8.469223
17.2649252;3.413579;7;;-0.117671;45;;(3.8, 4.8);8.469223
17.2649252;3.413579;7;;0.1048899;45;;(3.9, 3.5);8.469223
17.3426314;3.4912852;7;;0.2498051;30;;(14.1, 6.3);23.49317
17.3431342;3.491788;7;;0.1398541;30;;(8.6, 5.5);23.49317
17.3431342;3.491788;7;;-0.2365947;30;;(7.6, 3.7);23.49317
17.3431342;3.491788;7;;-0.2498056;30;;(11.0, 3.4);23.49317
17.3431342;3.491788;7;;-0.1398539;30;;(17.6, 3.5);23.49317
17.3431342;3.491788;7;;0.1395783;45;;(5.1, 3.6);8.469223
17.3431342;3.491788;7;;-0.1027303;45;;(5.0, 5.2);8.469223
17.3436342;3.492288;7;;-0.2593965;45;;(4.3, 6.4);8.469223
17.3436342;3.492288;7;;-0.1217653;45;;(3.8, 4.7);8.469223
17.3436342;3.492288;7;;0.1391582;45;;(3.9, 3.5);8.469223
17.4228447;3.5714985;7;;0.2379463;30;;(14.4, 6.3);23.49317
17.4228447;3.5714985;7;;0.1338946;30;;(8.8, 5.6);23.49317
17.4233457;3.5719995;7;;-0.2434193;30;;(7.6, 3.8);23.49317
17.4233457;3.5719995;7;;-0.2379468;30;;(10.8, 3.4);23.49317
17.4233457;3.5719995;7;;-0.1338946;30;;(17.4, 3.5);23.49317
17.4233457;3.5719995;7;;0.1334917;45;;(5.1, 3.6);8.469227
17.4233457;3.5719995;7;;-0.1420922;45;;(5.0, 5.3);8.469227
17.4233457;3.5719995;7;;-0.2722111;45;;(4.3, 6.4);8.469227
17.4233457;3.5719995;7;;-0.1058776;45;;(3.8, 4.6);8.469227
17.4233457;3.5719995;7;;0.1946885;45;;(3.9, 3.5);8.469227
17.5000499;3.6487037;7;;0.2743416;30;;(14.6, 6.2);23.49318
17.5000499;3.6487037;7;;0.1018011;30;;(8.9, 5.6);23.49318
17.5000499;3.6487037;7;;-0.3072434;30;;(7.5, 3.8);23.49318
17.5000499;3.6487037;7;;-0.274342;30;;(10.6, 3.4);23.49318
17.5000499;3.6487037;7;;-0.1018011;30;;(17.1, 3.5);23.49318
17.5005512;3.649205;7;;0.09985913;45;;(5.1, 3.7);8.469227
17.5005512;3.649205;7;;-0.251626;45;;(4.9, 5.4);8.469227
17.5005512;3.649205;7;;-0.2675874;45;;(4.2, 6.3);8.469227
17.5005512;3.649205;7;;-0.06917956;45;;(3.8, 4.5);8.469227
17.5005512;3.649205;7;;0.3022716;45;;(3.9, 3.5);8.469227
17.5782576;3.7269114;7;;0.3152321;30;;(14.9, 6.2);23.49317
17.5782576;3.7269114;7;;0.06731645;30;;(9.0, 5.7);23.49317
17.5782576;3.7269114;7;;-0.3781446;30;;(7.5, 3.9);23.49317
17.5782576;3.7269114;7;;-0.3152325;30;;(10.4, 3.4);23.49317
17.5782576;3.7269114;7;;-0.06731644;30;;(16.9, 3.4);23.49317
17.5782576;3.7269114;7;;0.06549749;45;;(5.1, 3.8);8.469223
17.5787592;3.727413;7;;-0.3529796;45;;(4.9, 5.6);8.469223
17.5787592;3.727413;7;;-0.264316;45;;(4.2, 6.3);8.469223
17.5787592;3.727413;7;;-0.05435246;45;;(3.8, 4.4);8.469223
17.5787592;3.727413;7;;0.3977251;45;;(3.9, 3.5);8.469223
17.6569672;3.805621;7;;0.3739402;30;;(15.2, 6.1);23.49317
17.6569672;3.805621;7;;0.0517902;30;;(9.2, 5.8);23.49317
17.6574684;3.8061222;7;;-0.4482515;30;;(7.5, 3.9);23.49317
17.6574684;3.8061222;7;;-0.3739406;30;;(10.2, 3.4);23.49317
17.6574684;3.8061222;7;;-0.05179019;30;;(16.7, 3.4);23.49317
17.6574684;3.8061222;7;;0.05049865;45;;(5.1, 3.8);8.469223
17.6574684;3.8061222;7;;-0.4417258;45;;(4.9, 5.7);8.469223
17.6574684;3.8061222;7;;-0.2586236;45;;(4.2, 6.2);8.469223
17.6574684;3.8061222;7;;-0.05363073;45;;(3.8, 4.3);8.469223
17.6579702;3.806624;7;;0.4769266;45;;(4.0, 3.4);8.469223
17.7241465;3.8728003;7;;0.4467993;30;;(15.4, 6.1);23.49317
17.7246475;3.8733013;7;;0.05094451;30;;(9.3, 5.9);23.49317
17.7246475;3.8733013;7;;-0.5159132;30;;(7.5, 4.0);23.49317
17.7246475;3.8733013;7;;-0.4467997;30;;(10.0, 3.4);23.49317
17.7246475;3.8733013;7;;-0.0509445;30;;(16.4, 3.4);23.49317
17.7251482;3.873802;7;;0.04861807;45;;(5.2, 3.9);8.469227
17.7251482;3.873802;7;;-0.5152451;45;;(4.8, 5.8);8.469227
17.7251482;3.873802;7;;-0.2504614;45;;(4.1, 6.1);8.469227
17.7251482;3.873802;7;;-0.06515369;45;;(3.8, 4.2);8.469227
17.7251482;3.873802;7;;0.550235;45;;(4.0, 3.4);8.469227
17.8043593;3.9530131;7;;0.5336443;30;;(15.7, 6.0);23.49318
17.8043593;3.9530131;7;;0.06232433;30;;(9.5, 5.9);23.49318
17.8048608;3.9535146;7;;-0.5831892;30;;(7.5, 4.0);23.49318
17.8048608;3.9535146;7;;-0.5336444;30;;(9.8, 3.4);23.49318
17.8048608;3.9535146;7;;-0.06232433;30;;(16.2, 3.4);23.49318
17.8048608;3.9535146;7;;0.05878126;45;;(5.2, 4.0);8.469227
17.8048608;3.9535146;7;;-0.583702;45;;(4.8, 5.9);8.469227
17.8048608;3.9535146;7;;-0.2336583;45;;(4.1, 6.1);8.469227
17.8053618;3.9540156;7;;-0.03336769;45;;(3.8, 4.1);8.469227
17.8053618;3.9540156;7;;0.6164258;45;;(4.0, 3.4);8.469227
17.8820662;4.03072;7;;0.5179627;30;;(15.9, 6.0);23.49317
17.8825673;4.0312211;7;;0.05209092;30;;(9.7, 6.0);23.49317
17.8825673;4.0312211;7;;-0.5804203;30;;(7.4, 4.1);23.49317
17.8825673;4.0312211;7;;-0.5179629;30;;(9.7, 3.4);23.49317
17.8825673;4.0312211;7;;-0.05209094;30;;(15.9, 3.4);23.49317
17.8825673;4.0312211;7;;0.0473013;45;;(5.2, 4.1);8.469227
17.8830693;4.0317231;7;;-0.5848439;45;;(4.7, 6.0);8.469227
17.8830693;4.0317231;7;;-0.1805577;45;;(4.1, 6.0);8.469227
17.8830693;4.0317231;7;;-0.04207592;45;;(3.8, 4.1);8.469227
17.8830693;4.0317231;7;;0.5607253;45;;(4.1, 3.4);8.469227
17.9577671;4.1064209;7;;0.5190529;30;;(16.2, 5.9);23.49318
17.9577671;4.1064209;7;;0.05187592;30;;(9.9, 6.0);23.49318
17.9577671;4.1064209;7;;-0.5299672;30;;(7.5, 4.1);23.49318
17.9582684;4.1069222;7;;-0.5190532;30;;(9.5, 3.4);23.49318
17.9582684;4.1069222;7;;-0.05187596;30;;(15.6, 3.4);23.49318
17.9582684;4.1069222;7;;0.04862663;45;;(5.2, 4.2);8.469227
17.9582684;4.1069222;7;;-0.5319565;45;;(4.7, 6.1);8.469227
17.9582684;4.1069222;7;;-0.1147631;45;;(4.0, 5.9);8.469227
17.9582684;4.1069222;7;;-0.04668491;45;;(3.8, 4.0);8.469227
17.9582684;4.1069222;7;;0.5003207;45;;(4.1, 3.4);8.469227
18.0354899;4.1841437;7;;0.4814875;30;;(16.5, 5.8);23.49317
