xCubeCube2Timestamp;xCubeCube2XPos;xCubeCube2YPos;xCubeCube2newCorr;xCubeCube2smoothCorr
11.902;-1.48999;0;;
11.902;-1.490311;0;;
11.924;-1.53519;0;;
11.925;-1.535612;0;;
11.946;-1.579309;0;;
11.947;-1.579733;0;;
11.969;-1.623091;0;;
11.97;-1.624203;0;;
12;-1.668636;0;;
12.001;-1.691508;0;;
12.0105274;;;-0.445282872652411;0.13715930167228
12.014;-1.716349;0;;
12.015;-1.716719;0;;
12.036;-1.758334;0;;
12.037;-1.758721;0;;
12.057;-1.802426;0;;
12.059;-1.802962;0;;
12.079;-1.847681;0;;
12.08;-1.848127;0;;
12.101;-1.89123;0;;
12.124;-1.936796;0;;
12.125;-1.93715;0;;
12.126;-1.937274;0;;
12.146;-1.981398;0;;
12.147;-1.981947;0;;
12.168;-2.026296;0;;
12.169;-2.02673;0;;
12.212;-2.114919;0;;
12.235;-2.15983;0;;
12.237;-2.16069;0;;
12.257;-2.205077;0;;
12.28;-2.248787;0;;
12.281;-2.249751;0;;
12.283;-2.249751;0;;
12.302;-2.293911;0;;
12.304;-2.294412;0;;
12.325;-2.338941;0;;
12.348;-2.383348;0;;
12.349;-2.384149;0;;
12.35;-2.38429;0;;
12.37;-2.428285;0;;
12.371;-2.42875;0;;
12.407;-2.50307;0;;
12.416;-2.518744;0;;
12.417;-2.519088;0;;
12.418;-2.519188;0;;
12.437;-2.561388;0;;
12.458;-2.607279;0;;
12.46;-2.607755;0;;
12.461;-2.607803;0;;
12.4682472;;;0.490114839030977;0.156955712299591
12.416;-2.518744;0;;
12.417;-2.519088;0;;
12.418;-2.519188;0;;
12.437;-2.561388;0;;
12.458;-2.607279;0;;
12.46;-2.607755;0;;
12.461;-2.607803;0;;
12.481;-2.650306;0;;
12.503;-2.695965;0;;
12.505;-2.696412;0;;
12.506;-2.696462;0;;
12.525;-2.739785;0;;
12.548;-2.784344;0;;
12.55;-2.78552;0;;
12.571;-2.830142;0;;
12.572;-2.830592;0;;
12.574;-2.830681;0;;
12.593;-2.873498;0;;
12.616;-2.919081;0;;
12.617;-2.919918;0;;
12.618;-2.920045;0;;
12.638;-2.963843;0;;
12.639;-2.964793;0;;
12.661;-3.009266;0;;
12.684;-2.977342;0;;
12.684;-2.976988;0;;
12.686;-2.976988;0;;
12.705;-2.932721;0;;
12.727;-2.889492;0;;
12.729;-2.888651;0;;
12.73;-2.888526;0;;
12.75;-2.844472;0;;
12.752;-2.843529;0;;
12.774;-2.799479;0;;
12.775;-2.799054;0;;
12.796;-2.754856;0;;
12.797;-2.754407;0;;
12.819;-2.710213;0;;
12.82;-2.709783;0;;
12.841;-2.666209;0;;
12.864;-2.620854;0;;
12.9259668;;;0.112729388358463;0.0525204515790093
12.929;-2.487246;0;;
13.019;-2.308194;0;;
13.02;-2.307798;0;;
13.042;-2.263309;0;;
13.064;-2.218874;0;;
13.065;-2.218512;0;;
13.066;-2.218358;0;;
13.087;-2.175138;0;;
13.088;-2.173846;0;;
13.11;-2.129428;0;;
13.112;-2.128991;0;;
13.132;-2.084899;0;;
13.133;-2.08434;0;;
13.154;-2.041698;0;;
13.175;-1.996025;0;;
13.177;-1.994942;0;;
13.178;-1.994942;0;;
13.212;-1.923375;0;;
13.222;-1.906013;0;;
13.223;-1.905647;0;;
13.242;-1.863034;0;;
13.244;-1.86106;0;;
13.245;-1.860866;0;;
13.266;-1.816545;0;;
13.267;-1.816105;0;;
13.287;-1.77242;0;;
13.289;-1.771948;0;;
