Gameobject;Timestamp;rx;ry;w;corrWindow;corrFreq;corrMethod;eye
circular (3)Cube1;6.988459;-0.937981707229675;0.903101122409546;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;6.988459;0.91775172189648;-0.893868117407478;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;6.988459;-0.885091301595408;-0.908846502036229;300;900;0.3;Pearson;BothEyes
circularCube4;6.988459;-0.911433824984727;-0.498591609009899;300;900;0.3;Pearson;BothEyes
circularCube5;6.988459;0.90326768127311;-0.916361689389018;300;900;0.3;Pearson;BothEyes
circularCube6;6.988459;-0.936788648876378;-0.901022710013554;300;900;0.3;Pearson;BothEyes
circularCube7;6.988459;-0.883997040245589;0.906812652510878;300;900;0.3;Pearson;BothEyes
circularCube8;6.988459;0.915846633695019;0.891875114651497;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;7.2897538;-0.684396367670072;-0.78253639347859;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;7.2897538;0.672982848808457;0.793801992785425;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;7.2897538;-0.566428237242315;0.777215245193071;300;900;0.3;Pearson;BothEyes
circularCube4;7.2897538;-0.666825319133656;-0.729920820583823;300;900;0.3;Pearson;BothEyes
circularCube5;7.2897538;0.661901656885231;0.767820396465394;300;900;0.3;Pearson;BothEyes
circularCube6;7.2897538;-0.687669234471193;0.77991513045073;300;900;0.3;Pearson;BothEyes
circularCube7;7.2897538;-0.57975943225939;-0.774616205898535;300;900;0.3;Pearson;BothEyes
circularCube8;7.2897538;0.676347004134816;-0.790956325815532;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;7.5800198;-0.869972838860875;-0.974521505426502;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;7.5800198;0.873341564539042;0.948365079448822;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;7.5800198;0.814617917099584;0.97775650036772;300;900;0.3;Pearson;BothEyes
circularCube4;7.5800198;-0.875390041663266;-0.983265318585261;300;900;0.3;Pearson;BothEyes
circularCube5;7.5800198;0.88441975231957;0.981696149634148;300;900;0.3;Pearson;BothEyes
circularCube6;7.5800198;-0.87587698000706;0.976075755940551;300;900;0.3;Pearson;BothEyes
circularCube7;7.5800198;0.811515049547437;-0.979391329896551;300;900;0.3;Pearson;BothEyes
circularCube8;7.5800198;0.879399018092909;-0.951066305500246;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;7.8707873;-0.494866382156042;0.411490955163257;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;7.8707873;0.50879975300164;-0.170159405537652;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;7.8707873;0.453696434992886;-0.384193849906573;300;900;0.3;Pearson;BothEyes
circularCube4;7.8707873;-0.523326798939957;0.343945239220454;300;900;0.3;Pearson;BothEyes
circularCube5;7.8707873;0.566933034676419;-0.36430379791893;300;900;0.3;Pearson;BothEyes
circularCube6;7.8707873;-0.491243044080578;-0.406072303242106;300;900;0.3;Pearson;BothEyes
circularCube7;7.8707873;0.449979486573788;0.379838994334392;300;900;0.3;Pearson;BothEyes
circularCube8;7.8707873;0.504875898200206;0.255531056933474;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;8.1610536;0.946794962655836;0.906265000936859;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;8.1610536;-0.949671077142173;0.861066173477796;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;8.1610536;-0.940813266213589;-0.895759333988636;300;900;0.3;Pearson;BothEyes
circularCube4;8.1610536;0.953280881675377;0.885909130467924;300;900;0.3;Pearson;BothEyes
circularCube5;8.1610536;-0.921436336207813;-0.89146386803562;300;900;0.3;Pearson;BothEyes
circularCube6;8.1610536;0.946770578451634;-0.905224562065037;300;900;0.3;Pearson;BothEyes
circularCube7;8.1610536;-0.941158680252618;0.895683866864133;300;900;0.3;Pearson;BothEyes
circularCube8;8.1610536;-0.949387634769639;-0.861707021339913;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;8.4568335;-0.781786233082798;-0.917875007756125;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;8.4568335;0.7857871039118;-0.965807465402658;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;8.4568335;0.77641577636897;0.959469378221892;300;900;0.3;Pearson;BothEyes
circularCube4;8.4568335;-0.793519313994179;-0.963857866710688;300;900;0.3;Pearson;BothEyes
circularCube5;8.4568335;-0.735265610155263;0.96094749950693;300;900;0.3;Pearson;BothEyes
circularCube6;8.4568335;-0.781885586276532;0.919672723154093;300;900;0.3;Pearson;BothEyes
circularCube7;8.4568335;0.776529235982774;-0.958126721422054;300;900;0.3;Pearson;BothEyes
circularCube8;8.4568335;0.785818250408367;0.964717610572009;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;8.7415849;0.855899900908293;0.504217251534736;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;8.7415849;-0.864896309638064;-0.717088222624945;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;8.7415849;-0.847412371298353;0.764739791549272;300;900;0.3;Pearson;BothEyes
circularCube4;8.7415849;0.895948969805661;-0.733473082392682;300;900;0.3;Pearson;BothEyes
circularCube5;8.7415849;0.819844203851521;0.741131578378181;300;900;0.3;Pearson;BothEyes
circularCube6;8.7415849;0.853436866239925;-0.471181951773103;300;900;0.3;Pearson;BothEyes
circularCube7;8.7415849;-0.844770963574649;-0.761110174153013;300;900;0.3;Pearson;BothEyes
circularCube8;8.7415849;-0.862514660932924;0.712999395303464;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;9.0433814;-0.901257585157224;0.802497999856668;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;9.0433814;0.914908399362728;-0.846500525576971;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;9.0433814;0.8921411123133;0.904202157646273;300;900;0.3;Pearson;BothEyes
circularCube4;9.0433814;-0.443238770734657;-0.858868719620118;300;900;0.3;Pearson;BothEyes
circularCube5;9.0433814;-0.875816609707532;0.870539048065117;300;900;0.3;Pearson;BothEyes
circularCube6;9.0433814;-0.901233975781159;-0.800187035640651;300;900;0.3;Pearson;BothEyes
circularCube7;9.0433814;0.892035994644205;-0.90337285625009;300;900;0.3;Pearson;BothEyes
circularCube8;9.0433814;0.9148062610905;0.846222816232115;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;9.3336471;0.871301742769939;-0.904792989098385;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;9.3336471;-0.847734405104086;0.892644237224744;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;9.3336471;-0.879526807749097;-0.679538418330596;300;900;0.3;Pearson;BothEyes
circularCube4;9.3336471;-0.91875168125334;0.885522771799616;300;900;0.3;Pearson;BothEyes
circularCube5;9.3336471;0.888667529580267;-0.87517915097356;300;900;0.3;Pearson;BothEyes
circularCube6;9.3336471;0.871606025296399;0.90566871935015;300;900;0.3;Pearson;BothEyes
circularCube7;9.3336471;-0.879848165221137;0.706581494973956;300;900;0.3;Pearson;BothEyes
circularCube8;9.3336471;-0.848594478700186;-0.893164822689569;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;9.6239134;-0.898253830105718;-0.984275485378381;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;9.6239134;0.843155042567;0.986823490429582;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;9.6239134;0.905190308913891;0.95065276712637;300;900;0.3;Pearson;BothEyes
circularCube4;9.6239134;0.919979285559867;0.988317437157003;300;900;0.3;Pearson;BothEyes
circularCube5;9.6239134;-0.912113857634007;-0.989719691792864;300;900;0.3;Pearson;BothEyes
circularCube6;9.6239134;-0.90046703109607;0.983635015474742;300;900;0.3;Pearson;BothEyes
circularCube7;9.6239134;0.907151573392666;-0.946316305380385;300;900;0.3;Pearson;BothEyes
circularCube8;9.6239134;0.850379500159354;-0.986299158924517;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;9.9257097;-0.889268911584324;0.812567350384361;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;9.9257097;-0.61718426703698;-0.822877491786244;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;9.9257097;0.876147379232615;-0.782864817660514;300;900;0.3;Pearson;BothEyes
circularCube4;9.9257097;0.856404059342195;-0.833739388277924;300;900;0.3;Pearson;BothEyes
