circular (3)Cube6Timestamp;circular (3)Cube6XPos;circular (3)Cube6YPos;circular (3)Cube6newCorr;circular (3)Cube6smoothCorr
5.483;1.405411;-1.42296;;
5.484;1.405473;-1.4229;;
5.504;1.430002;-1.398242;;
5.506;1.430232;-1.39801;;
5.507;1.430288;-1.397954;;
5.527;1.454399;-1.372847;;
5.528;1.454656;-1.372579;;
5.549;1.466464;-1.359956;;
5.55;1.466581;-1.35983;;
5.551;1.466597;-1.359813;;
5.571;1.507665;-1.314116;;
5.572;1.508077;-1.313656;;
5.573;1.508146;-1.31358;;
5.574;1.508168;-1.313556;;
5.594;1.524832;-1.294171;;
5.595;1.525001;-1.293975;;
5.596;1.525028;-1.293943;;
5.597;1.525036;-1.293934;;
5.615;1.541153;-1.274692;;
5.616;1.546197;-1.268566;;
5.617;1.546993;-1.267599;;
5.618;1.547217;-1.267327;;
5.637;1.558263;-1.253719;;
5.638;1.567639;-1.241958;;
5.639;1.569082;-1.240147;;
5.64;1.569463;-1.23967;;
5.66;1.579872;-1.226376;;
5.66;1.585471;-1.219097;;
5.661;1.590003;-1.213204;;
5.662;1.590905;-1.212032;;
5.681;1.601228;-1.198361;;
5.682;1.601228;-1.198361;;
5.683;1.609502;-1.187201;;
5.684;1.612034;-1.183785;;
5.703;1.622319;-1.16965;;
5.704;1.622319;-1.16965;;
5.704;1.622319;-1.16965;;
5.705;1.632409;-1.155525;;
5.724;1.64218;-1.141595;;
5.725;1.642288;-1.141442;;
5.769;1.685693;-1.076292;;
5.772;1.690373;-1.068938;;
5.827953;;;0.459344604275793;0.135335107121736
5.772;1.690373;-1.068938;;
5.959;1.823577;-0.8212564;;
5.96;1.823721;-0.8209884;;
5.963;1.830171;-0.8065036;;
5.964;1.830608;-0.8055229;;
5.965;1.830802;-0.8050863;;
5.981;1.838188;-0.7880769;;
6.072;1.888646;-0.6580401;;
6.1182227;;;0.709274729896932;0.320058466072742
6.139;1.92042;-0.5584862;;
6.163;1.934221;-0.50863;;
6.187;1.943203;-0.4732171;;
6.189;1.943363;-0.4725854;;
6.209;1.947259;-0.4562625;;
6.211;1.947344;-0.4559051;;
6.233;1.960051;-0.3975895;;
6.235;1.960382;-0.3960725;;
6.256;1.965267;-0.37108;;
6.279;1.971564;-0.3360365;;
6.28;1.971618;-0.3357365;;
6.301;1.977107;-0.3016961;;
6.302;1.977212;-0.301042;;
6.324;1.982142;-0.2666446;;
6.346;1.986778;-0.229556;;
6.347;1.986821;-0.2292145;;
6.371;1.990273;-0.1969842;;
