circCubeCube1Timestamp;circCubeCube1XPos;circCubeCube1YPos;circCubeCube1newCorr;circCubeCube1smoothCorr
0;;;0;0
5.008;-0.9529948;1.158361;;
5.009;-0.9529948;1.158361;;
5.009;-0.9529948;1.158361;;
5.01;-0.9529948;1.158361;;
5.0168017;;;-0.00156123220116261;-0.0468331920150568
5.01;-0.9529948;1.158361;;
5.029;-0.9325809;1.174859;;
5.03;-0.9325809;1.174859;;
5.031;-0.9325809;1.174859;;
5.031;-0.9325809;1.174859;;
5.051;-0.9117112;1.191127;;
5.052;-0.9117112;1.191127;;
5.052;-0.9117112;1.191127;;
5.053;-0.9117112;1.191127;;
5.072;-0.9013867;1.198958;;
5.073;-0.8925943;1.205508;;
5.074;-0.8912431;1.206515;;
5.074;-0.8907614;1.206874;;
5.094;-0.8795378;1.215077;;
5.095;-0.8795378;1.215077;;
5.095;-0.8793439;1.215216;;
5.096;-0.8706671;1.22144;;
5.115;-0.85824;1.230212;;
5.116;-0.8581166;1.230299;;
5.117;-0.8580787;1.230326;;
5.118;-0.8580787;1.230326;;
5.137;-0.8362926;1.245237;;
5.137;-0.8362926;1.245237;;
5.138;-0.8362926;1.245237;;
5.139;-0.8362926;1.245237;;
5.158;-0.8143052;1.259725;;
5.158;-0.8143052;1.259725;;
5.179;-0.7923474;1.273651;;
5.179;-0.7923474;1.273651;;
5.18;-0.7923474;1.273651;;
5.181;-0.7923474;1.273651;;
5.2;-0.7697208;1.287451;;
5.201;-0.7697208;1.287451;;
5.202;-0.7697208;1.287451;;
5.202;-0.7697208;1.287451;;
5.221;-0.7473964;1.300534;;
5.222;-0.7471901;1.300655;;
5.229;-0.7471062;1.300704;;
5.23;-0.7378715;1.305956;;
5.243;-0.7241791;1.313605;;
5.243;-0.7240762;1.313663;;
5.244;-0.7239545;1.313731;;
5.245;-0.7239162;1.313752;;
5.264;-0.7012299;1.325997;;
5.265;-0.7010052;1.326118;;
5.265;-0.7009259;1.326161;;
5.266;-0.7009259;1.326161;;
5.286;-0.6775215;1.338269;;
5.287;-0.6775215;1.338269;;
5.287;-0.6775215;1.338269;;
5.288;-0.6775215;1.338269;;
5.307;-0.6540389;1.349898;;
5.308;-0.6537827;1.350025;;
5.309;-0.6537456;1.350043;;
5.31;-0.6537343;1.350049;;
5.318604;;;9.12146385534385E-05;-0.0611406601843934
5.329;-0.6422823;1.355534;;
5.33;-0.6421638;1.35559;;
5.331;-0.6302671;1.361162;;
5.331;-0.6302671;1.361162;;
5.351;-0.618283;1.366647;;
5.351;-0.6181869;1.366691;;
5.352;-0.6181404;1.366712;;
5.353;-0.6079396;1.371272;;
5.372;-0.593954;1.377394;;
5.373;-0.5938103;1.377457;;
5.374;-0.5937814;1.37747;;
5.375;-0.5844107;1.381462;;
5.394;-0.5700614;1.387453;;
5.394;-0.570027;1.387468;;
5.395;-0.5698675;1.387534;;
5.415;-0.5455111;1.397289;;
5.415;-0.5455111;1.397289;;
5.416;-0.5455111;1.397289;;
5.436;-0.5211806;1.406543;;
5.437;-0.5209317;1.406637;;
5.438;-0.5208929;1.406652;;
5.438;-0.520887;1.406654;;
5.458;-0.4963665;1.41549;;
5.459;-0.4961142;1.415581;;
5.46;-0.4960758;1.415595;;
5.46;-0.4960695;1.415597;;
5.48;-0.4715892;1.423936;;
5.48;-0.4714245;1.423993;;
5.481;-0.4713027;1.424034;;
5.482;-0.4712847;1.42404;;
5.501;-0.4464439;1.432019;;
5.502;-0.4461724;1.432106;;
5.503;-0.4461216;1.432123;;
5.504;-0.4461216;1.432123;;
5.523;-0.421497;1.43956;;
5.524;-0.4212481;1.439635;;
5.524;-0.4212055;1.439648;;
5.525;-0.4211828;1.439654;;
5.544;-0.3960574;1.446765;;
5.545;-0.3958009;1.446838;;
5.545;-0.3957574;1.44685;;
5.546;-0.3957335;1.446857;;
5.566;-0.3706495;1.453482;;
5.566;-0.3706359;1.453486;;
5.567;-0.3703271;1.453567;;
5.567;-0.3703271;1.453567;;
5.587;-0.345483;1.459666;;
5.587;-0.345239;1.459726;;
5.588;-0.3450004;1.459785;;
5.589;-0.3448821;1.459813;;
5.609;-0.3319972;1.462796;;
5.61;-0.323777;1.464625;;
5.611;-0.3199334;1.46548;;
5.612;-0.3193238;1.465616;;
5.620406;;;-0.0025794554285114;-0.0588423543008761
5.632;-0.3058409;1.468489;;
5.632;-0.3003963;1.469598;;
5.633;-0.2931223;1.471081;;
5.634;-0.2931223;1.471081;;
5.653;-0.2803427;1.473568;;
5.653;-0.2801752;1.473601;;
5.654;-0.2705364;1.475391;;
5.655;-0.2673058;1.47599;;
5.676;-0.2542248;1.478298;;
5.676;-0.2529891;1.478505;;
5.677;-0.2433594;1.48012;;
5.678;-0.2419498;1.480356;;
5.703;-0.2159489;1.484369;;
5.704;-0.2155896;1.484425;;
5.705;-0.2154653;1.484444;;
5.706;-0.2154377;1.484448;;
5.718;-0.1970364;1.487;;
5.719;-0.1967208;1.487044;;
5.74;-0.1763978;1.48959;;
5.74;-0.1762389;1.48961;;
5.741;-0.1761673;1.489619;;
5.742;-0.1761576;1.48962;;
5.743;-0.1761552;1.489621;;
5.744;-0.163136;1.491102;;
5.764;-0.1502082;1.49246;;
5.765;-0.1502082;1.49246;;
5.787;-0.1240923;1.494853;;
5.788;-0.1144398;1.495615;;
5.789;-0.1121846;1.495793;;
5.79;-0.1108588;1.495898;;
5.79;-0.1108588;1.495898;;
5.791;-0.1108588;1.495898;;
5.81;-0.09774607;1.49681;;
5.81;-0.09174189;1.497176;;
5.811;-0.0863315;1.497506;;
5.812;-0.08475157;1.497602;;
5.831;-0.07167201;1.498285;;
5.832;-0.07144999;1.498297;;
5.853;-0.0452296;1.499315;;
5.853;-0.0450641;1.499322;;
5.854;-0.04493798;1.499326;;
5.855;-0.03400608;1.499607;;
5.856;-0.03238497;1.499648;;
5.856;-0.03210918;1.499655;;
5.874;-0.01868989;1.499883;;
5.875;-0.01854491;1.499885;;
5.895;0.00732113;1.499979;;
5.896;0.007569205;1.49998;;
5.897;0.007639274;1.499981;;
5.897;0.007639274;1.499981;;
5.898;0.007639274;1.499981;;
5.917;0.03394538;1.499616;;
5.917;0.03394538;1.499616;;
5.918;0.03394538;1.499616;;
5.9222083;;;-0.0236074995459371;-0.00691424313426441
5.939;0.05992343;1.4988;;
5.939;0.05992676;1.4988;;
5.94;0.06024104;1.49879;;
5.94;0.06024104;1.49879;;
5.96;0.08624447;1.497516;;
5.96;0.0863077;1.497513;;
5.961;0.08657767;1.497499;;
5.961;0.08657767;1.497499;;
5.981;0.1124095;1.495779;;
5.981;0.1125132;1.495772;;
5.982;0.1126741;1.495762;;
5.982;0.1126949;1.49576;;
6.002;0.1387104;1.49357;;
6.002;0.1388447;1.493558;;
6.003;0.1390073;1.493545;;
6.004;0.1390326;1.493543;;
6.023;0.1647297;1.490924;;
6.024;0.1649856;1.490898;;
6.024;0.1650276;1.490894;;
6.025;0.1650618;1.49089;;
6.045;0.1906817;1.487825;;
6.046;0.1910216;1.487784;;
6.047;0.1913396;1.487746;;
6.048;0.1913396;1.487746;;
6.067;0.216672;1.484263;;
6.068;0.2171286;1.4842;;
6.069;0.2172899;1.484178;;
6.089;0.2303833;1.482202;;
6.09;0.240672;1.480556;;
6.09;0.2424344;1.480274;;
6.091;0.243288;1.480138;;
6.092;0.2434732;1.480108;;
6.112;0.2689709;1.475685;;
6.113;0.2692376;1.475639;;
6.114;0.2692738;1.475633;;
6.114;0.2692799;1.475631;;
6.134;0.2947659;1.47075;;
6.135;0.2950223;1.470701;;
6.136;0.2950648;1.470693;;
6.136;0.2950667;1.470692;;
6.156;0.3079101;1.468056;;
6.157;0.3185354;1.465779;;
6.158;0.3209955;1.465251;;
6.179;0.3338909;1.462367;;
6.18;0.3430023;1.460245;;
6.187;0.3464293;1.459447;;
6.188;0.3465229;1.459425;;
6.201;0.3597159;1.456228;;
6.202;0.3687412;1.453959;;
6.203;0.3711208;1.453361;;
6.204;0.3717471;1.453204;;
6.204;0.3718479;1.453178;;
6.224;0.3846622;1.449838;;
6.2240104;;;-0.985281119838452;-0.252844215043587
6.224;0.3846622;1.449838;;
6.225;0.3912455;1.44806;;
6.225;0.3955373;1.446902;;
6.226;0.3971632;1.446463;;
6.246;0.4225507;1.439251;;
6.247;0.4227906;1.439182;;
6.248;0.4228468;1.439167;;
6.249;0.4228639;1.439162;;
6.268;0.4353262;1.43544;;
6.269;0.445233;1.432388;;
6.27;0.4474316;1.431711;;
6.27;0.4478092;1.431595;;
6.289;0.4606662;1.42751;;
6.29;0.4712501;1.424044;;
6.291;0.4728233;1.423529;;
