horizontalCube1Timestamp;horizontalCube1XPos;horizontalCube1YPos;horizontalCube1newCorr;horizontalCube1smoothCorr
5.102;-2;-1.970109;;
5.103;-2;-1.970671;;
5.104;-2;-1.970671;;
5.104;-2;-1.970671;;
5.124;-2;-2.014814;;
5.124;-2;-2.014814;;
5.125;-2;-2.014814;;
5.146;-2;-2.059609;;
5.149;-2;-2.060091;;
5.15;-2;-2.060132;;
5.151;-2;-2.060132;;
5.17;-2;-2.082738;;
5.171;-2;-2.082738;;
5.172;-2;-2.082738;;
5.172;-2;-2.082738;;
5.192;-2;-2.148419;;
5.192;-2;-2.149262;;
5.193;-2;-2.149262;;
5.194;-2;-2.149262;;
5.213;-2;-2.193205;;
5.214;-2;-2.193624;;
5.214;-2;-2.193676;;
5.215;-2;-2.193775;;
5.235;-2;-2.237839;;
5.235;-2;-2.238062;;
5.236;-2;-2.238341;;
5.257;-2;-2.282765;;
5.258;-2;-2.283164;;
5.258;-2;-2.283303;;
5.28;-2;-2.327258;;
5.2900603;;;-0.485680535986309;-0.132767985526414
5.28;-2;-2.327258;;
5.303;-2;-2.372006;;
5.303;-2;-2.372291;;
5.324;-2;-2.394839;;
5.325;-2;-2.395103;;
5.326;-2;-2.395103;;
5.327;-2;-2.395103;;
5.347;-2;-2.461833;;
5.351;-2;-2.461833;;
5.352;-2;-2.461833;;
5.369;-2;-2.50598;;
5.37;-2;-2.506502;;
5.371;-2;-2.506588;;
5.371;-2;-2.506592;;
5.372;-2;-2.506629;;
5.391;-2;-2.551165;;
5.391;-2;-2.551165;;
5.392;-2;-2.551165;;
5.412;-2;-2.573082;;
5.413;-2;-2.590473;;
5.414;-2;-2.596752;;
5.415;-2;-2.596752;;
5.416;-2;-2.596752;;
5.435;-2;-2.640265;;
5.436;-2;-2.640734;;
5.437;-2;-2.640807;;
5.437;-2;-2.640833;;
5.457;-2;-2.663091;;
5.458;-2;-2.679804;;
5.458;-2;-2.682611;;
5.478;-2;-2.707685;;
5.479;-2;-2.707945;;
5.48;-2;-2.707995;;
5.481;-2;-2.707995;;
5.501;-2;-2.750754;;
5.502;-2;-2.767337;;
5.503;-2;-2.772455;;
5.525;-2;-2.818878;;
5.526;-2;-2.819296;;
5.527;-2;-2.819384;;
5.527;-2;-2.819399;;
5.547;-2;-2.863597;;
5.548;-2;-2.864039;;
5.548;-2;-2.864114;;
5.55;-2;-2.864146;;
5.57;-2;-2.907827;;
5.571;-2;-2.908372;;
5.572;-2;-2.908372;;
5.5913611;;;0.321459346707909;-0.176838166323713
5.57;-2;-2.907827;;
5.571;-2;-2.908372;;
5.572;-2;-2.908372;;
5.593;-2;-2.952804;;
5.594;-2;-2.953235;;
5.595;-2;-2.953304;;
5.615;-2;-2.99779;;
5.616;-2;-2.998193;;
5.617;-2;-2.998302;;
5.617;-2;-2.998319;;
5.618;-2;-2.998338;;
5.639;-2;-3.020599;;
5.64;-2;-3.020862;;
5.641;-2;-3.020862;;
5.641;-2;-3.020862;;
5.661;-2;-2.967206;;
5.662;-2;-2.966689;;
5.662;-2;-2.9666;;
5.682;-2;-2.921946;;
5.683;-2;-2.921397;;
5.684;-2;-2.921397;;
5.704;-2;-2.877593;;
5.705;-2;-2.87716;;
5.706;-2;-2.877041;;
5.707;-2;-2.877041;;
5.707;-2;-2.877041;;
5.726;-2;-2.832886;;
5.726;-2;-2.832505;;
5.727;-2;-2.832331;;
5.748;-2;-2.788779;;
5.749;-2;-2.788135;;
5.75;-2;-2.787399;;
5.751;-2;-2.787278;;
5.751;-2;-2.787221;;
5.771;-2;-2.743415;;
5.775;-2;-2.743415;;
